Gender,Champion,Mins,Runner-up Nationality,Champion Nationality,Runner-up,Score,Runner-up Seed,Champion Seed,Year,Runner-up Nationality (Men's),Runner-Up
Men's,G.L. Patterson,,AUS,AUS,N.E. Brookes,"6-3, 7-5, 6-2",,,1919,,
Men's,G.L. Patterson,,GBR,AUS,R. Lycett,"6-3, 6-4, 6-2",,,1922,,
Men's,N.E. Brookes,,GBR,AUS,A.W. Gore,"6-4, 6-2, 6-2",,,1907,,
Men's,N.E. Brookes,,NZL,AUS,A.F. Wilding,"6-4, 6-4, 7-5",,,1914,,
Men's,J.R. Borotra,80,FRA,FRA,J.R. Lacoste,"6-1, 3-6, 6-1, 3-6, 6-4",,,1924,,
Men's,J.R. Lacoste,,FRA,FRA,J.R. Borotra,"6-3, 6-3, 4-6, 8-6",,,1925,,
Men's,J.R. Borotra,65,USA,FRA,H.O. Kinsey,"8-6, 6-1, 6-3",,,1926,,
Men's,H.L. Doherty,65,AUS,GBR,N.E. Brookes,"8-6, 6-2, 6-4",,,1905,,
Men's,A.W. Gore,,GBR,GBR,H.R. Barrett,"6-3, 6-2, 4-6, 3-6, 6-4",,,1908,,
Men's,A.W. Gore,95,GBR,GBR,M.J.G. Ritchie,"6-8, 1-6, 6-2, 6-2, 6-2",,,1909,,
Men's,A.W. Gore,95,GBR,GBR,R.F. Doherty,"4-6, 7-5, 6-4, 6-4",,,1901,,
Men's,H.F. Lawford,120,GBR,GBR,J.E. Renshaw,"1-6, 6-3, 3-6, 6-4, 6-4",,,1887,,
Men's,H.L. Doherty,84,GBR,GBR,A.W. Gore,"6-4, 6-3, 3-6, 6-0",,,1902,,
Men's,H.L. Doherty,,GBR,GBR,F.L. Riseley,"6-1, 7-5, 8-6",,,1904,,
Men's,H.L. Doherty,74,GBR,GBR,F.L. Riseley,"6-4, 4-6, 6-2, 6-3",,,1906,,
Men's,H.L. Doherty,,GBR,GBR,F.L. Riseley,"7-5, 6-3, 6-0",,,1903,,
Men's,H.S. Mahony,120,GBR,GBR,W. Baddeley,"6-2, 6-8, 5-7, 8-6, 6-3",,,1896,,
Men's,J. Pim,117,GBR,GBR,W. Baddeley,"10-8, 6-2, 8-6",,,1894,,
Men's,J. Pim,65,GBR,GBR,W. Baddeley,"3-6, 6-1, 6-3, 6-2",,,1893,,
Men's,J.E. Renshaw,51,GBR,GBR,H.F. Lawford,"6-3, 7-5, 6-0",,,1888,,
Men's,J.T. Hartley,,GBR,GBR,H.F. Lawford,"6-3, 6-2, 2-6, 6-3",,,1880,,
Men's,J.T. Hartley,,GBR,GBR,V.T.St.L. Goold,"6-2, 6-4, 6-2",,,1879,,
Men's,P.F. Hadow,,GBR,GBR,S.W. Gore,"7-5, 6-1, 9-7",,,1878,,
Men's,R.F. Doherty,,GBR,GBR,A.W. Gore,"1-6, 4-6, 6-3, 6-3, 6-3",,,1899,,
Men's,R.F. Doherty,55,GBR,GBR,H.L. Doherty,"6-3, 6-3, 2-6, 5-7, 6-1",,,1898,,
Men's,R.F. Doherty,67,GBR,GBR,H.S. Mahony,"6-4, 6-4, 6-3",,,1897,,
Men's,R.F. Doherty,,GBR,GBR,S.H. Smith,"6-8, 6-3, 6-1, 6-2",,,1900,,
Men's,S.W. Gore,48,GBR,GBR,W.C. Marshall,"6-1, 6-2, 6-4",,,1877,,
Men's,W. Baddeley,75,GBR,GBR,J. Pim,"4-6, 6-3, 6-3, 6-2",,,1892,,
Men's,W. Baddeley,,GBR,GBR,J.Pim,"6-4, 1-6, 7-5, 6-0",,,1891,,
Men's,W. Baddeley,95,GBR,GBR,W.V. Eaves,"4-6, 2-6, 8-6, 6-2, 6-3",,,1895,,
Men's,W.C. Renshaw,96,GBR,GBR,H.F. Lawford,"6-0, 5-7, 6-3, 6-4",,,1886,,
Men's,W.C. Renshaw,69,GBR,GBR,H.F. Lawford,"6-0, 6-4, 9-7",,,1884,,
Men's,W.C. Renshaw,122,GBR,GBR,H.F. Lawford,"7-5, 6-2, 4-6, 7-5",,,1885,,
Men's,W.C. Renshaw,89,GBR,GBR,J.E. Renshaw,"2-6, 6-3, 6-3, 4-6, 6-3",,,1883,,
Men's,W.C. Renshaw,85,GBR,GBR,J.E. Renshaw,"6-1, 2-6, 4-6, 6-2, 6-2",,,1882,,
Men's,W.C. Renshaw,63,GBR,GBR,J.E. Renshaw,"6-4, 6-1, 3-6, 6-0",,,1889,,
Men's,W.C. Renshaw,37,GBR,GBR,J.T. Hartley,"6-0, 6-1, 6-1",,,1881,,
Men's,W.J. Hamilton,96,GBR,GBR,W.C. Renshaw,"6-8, 6-2, 3-6, 6-1, 6-1",,,1890,,
Men's,A.F. Wilding,,GBR,NZL,A.W. Gore,"6-4, 6-4, 4-6, 6-4",,,1912,,
Men's,A.F. Wilding,,GBR,NZL,A.W. Gore,"6-4, 7-5, 4-6, 6-2",,,1910,,
Men's,A.F. Wilding,,GBR,NZL,H.R. Barrett,"6-4, 4-6, 2-6, 6-2, retd",,,1911,,
Men's,A.F. Wilding,,USA,NZL,M.E. McLoughlin,"8-6, 6-3, 10-8",,,1913,,
Men's,W.T. Tilden,,AUS,USA,G.L. Patterson,"2-6, 6-3, 6-2, 6-4",,,1920,,
Men's,W.T. Tilden,,RSA,USA,B.I.C. Norton,"4-6, 2-6, 6-1, 6-0, 7-5",,,1921,,
Men's,W. M. Johnston,46,USA,USA,F.T. Hunter,"6-0, 6-3, 6-1",,,1923,,
Men's,R.G. Laver,60,AUS,AUS,A.D. Roche,"6-3, 6-4, 6-2",15,1,1968,,
Men's,L.A. Hoad,57,AUS,AUS,A.J. Cooper,"6-2, 6-1, 6-2",2,1,1957,,
Men's,L.A. Hoad,117,AUS,AUS,K.R. Rosewall,"6-2, 4-6, 7-5, 6-4",2,1,1956,,
Men's,R.S. Emerson,67,AUS,AUS,F.S. Stolle,"6-2, 6-4, 6-4",2,1,1965,,
Men's,F.A. Sedgman,80,CZE,AUS,J. Drobny,"4-6, 6-2, 6-3, 6-2",2,1,1952,,
Men's,L.G. Hewitt,116,ARG,AUS,D.P. Nalbandian,"6-1, 6-3, 6-2",28,1,2002,,
Men's,N.A. Fraser,130,AUS,AUS,R.G. Laver,"6-4, 3-6, 9-7, 7-5",3,1,1960,,
Men's,A.J. Cooper,130,AUS,AUS,N.A. Fraser,"3-6, 6-3, 6-4, 13-11",4,1,1958,,
Men's,R.G. Laver,136,AUS,AUS,J.D. Newcombe,"6-4, 5-7, 6-4, 6-4",6,1,1969,,
Men's,R.S. Emerson,127,AUS,AUS,F.S. Stolle,"6-4, 12-10, 4-6, 6-3",6,1,1964,,
Men's,R.G. Laver,51,AUS,AUS,M.F. Mulligan,"6-2, 6-2, 6-1",U,1,1962,,
Men's,H.J. Cochet,60,FRA,FRA,J.R. Borotra,"6-4, 6-3, 6-4",2,1,1929,,
Men's,F.J. Perry,40,GER,GBR,G. von Cramm,"6-1, 6-1, 6-0",2,1,1936,,
Men's,F.J. Perry,80,GER,GBR,G. von Cramm,"6-2, 6-4, 6-4",2,1,1935,,
Men's,N. Djokovic,176,SUI,SRB,R. Federer,"7-6, 6-7, 6-4, 6-3",2,1,2015,,
Men's,N. Djokovic,236,SUI,SRB,R. Federer,"6-7, 6-4, 7-64, 5-7, 6-4",4,1,2014,,
Men's,R. Federer,170,ESP,SUI,R. Nadal,"6-0, 7-6 (7-5), 6-7 (2-7), 6-3",2,1,2006,,
Men's,R. Federer,225,ESP,SUI,R. Nadal,"7-6 (9-7), 4-6, 7-6 (7-3), 2-6, 6-2",2,1,2007,,
Men's,R. Federer,151,USA,SUI,A. Roddick,"4-6, 7-5, 7-6 (7-3), 6-4",2,1,2004,,
Men's,R. Federer,101,USA,SUI,A. Roddick,"6-2, 7-6 (7-2), 6-4",2,1,2005,,
Men's,B.R. Borg,233,USA,SWE,J.P. McEnroe,"1-6, 7-5, 6-3, 6-7 (16-18), 8-6",2,1,1980,,
Men's,B.R. Borg,108,USA,SWE,J.S. Connors,"6-2, 6-2, 6-3",2,1,1978,,
Men's,B.R. Borg,169,USA,SWE,R. Tanner,"6-7(4-7), 6-1, 3-6, 6-3, 6-4",5,1,1979,,
Men's,P. Sampras,182,AUS,USA,P.M. Rafter,"6-7 (10-12), 7-6 (7-5), 6-4, 6-2",12,1,2000,,
Men's,P. Sampras,172,CRO,USA,G.S. Ivanisevic,"6-7 (2-7), 7-6 (11-9), 6-4, 3-6, 6-2",14,1,1998,,
Men's,J.D. Budge,59,GBR,USA,H.W. Austin,"6-1, 6-0, 6-3",2,1,1938,,
Men's,J.D. Budge,65,GER,USA,G. von Cramm,"6-3, 6-4, 6-2",2,1,1937,,
Men's,S.R. Smith,161,ROM,USA,I. Nastase,"4-6, 6-3, 6-3, 4-6, 7-5",2,1,1972,,
Men's,J.A. Kramer,45,USA,USA,T.P. Brown,"6-1, 6-3, 6-2",3,1,1947,,
Men's,J.P. McEnroe,80,USA,USA,J.S. Connors,"6-1, 6-1, 6-2",3,1,1984,,
Men's,P. Sampras,178,USA,USA,J.S. Courier,"7-6 (7-3), 7-6 (8-6), 3-6, 6-3",3,1,1993,,
Men's,P. Sampras,115,CRO,USA,G.S. Ivanisevic,"7-6 (7-2), 7-6 (7-5), 6-0",4,1,1994,,
Men's,P. Sampras,115,USA,USA,A.K. Agassi,"6-3, 6-4, 7-5",4,1,1999,,
Men's,F.R. Schroeder,100,CZE,USA,J. Drobny,"3-6, 6-0, 6-3, 4-6, 6-4",6,1,1949,,
Men's,A.R. Olmedo,71,AUS,USA,R.G. Laver,"6-4, 6-3, 6-4",U,1,1959,,
Men's,M.A. Trabert,73,DEN,USA,K. Nielsen,"6-3, 7-5, 6-1",U,1,1955,,
Men's,P. Sampras,94,FRA,USA,C.A. Pioline,"6-4, 6-2, 6-4",U,1,1997,,
Men's,P.H. Cash,165,TCH,AUS,I. Lendl,"7-6 (7-5), 6-2, 7-5",2,11,1987,,
Men's,J. Drobny,157,AUS,CZE,K.R. Rosewall,"13-11, 4-6, 6-2, 9-7",3,11,1954,,
Men's,A.K. Agassi,170,CRO,USA,G.S. Ivanisevic,"6-7 (8-10), 6-4, 6-4, 1-6, 6-4",8,12,1992,,
Men's,J.H. Crawford,120,USA,AUS,H.E. Vines,"4-6, 11-9, 6-2, 2-6, 6-4",1,2,1933,,
Men's,J.D. Newcombe,170,USA,AUS,S.R. Smith,"6-3, 5-7, 2-6, 6-4, 6-4",4,2,1971,,
Men's,J.D. Newcombe,163,AUS,AUS,K.R. Rosewall,"5-7, 6-3, 6-2, 3-6, 6-1",5,2,1970,,
Men's,R.G. Laver,55,USA,AUS,C.R. McKinley,"6-3, 6-1, 6-4",8,2,1961,,
Men's,J. Kodes,110,URS,CZE,A. Metreveli,"6-1, 9-8(7-5), 6-3",4,2,1973,,
Men's,R. Nadal,288,SUI,ESP,R. Federer,"6-4, 6-4, 6-7 (5-7), 6-7 (8-10), 9-7",1,2,2008,,
Men's,R. Nadal,133,CZ,ESP,T. Berdych,"6-3, 7-5, 6-4",12,2,2010,,
Men's,J.R. Lacoste,,FRA,FRA,H.J. Cochet,"6-1, 4-6, 6-4, 6-2",1,2,1928,,
Men's,F.J. Perry,72,AUS,GBR,J.H. Crawford,"6-3, 6-0, 7-5",1,2,1934,,
Men's,A. Murray,134,SRB,GBR,N. Djokovic,"6-4, 7-5, 6-4",1,2,2013,,
Men's,A. Murray,170,CND,GBR,M. Raonic,"6-4, 7-6, 7-6",6,2,2016,,
Men's,N. Djokovic,148,ESP,SRB,R. Nadal,6-4 6-1 1-6 6-3,1,2,2011,,
Men's,R. Federer,256,USA,SUI,A. Roddick,"5-7, 7-6 (8-6), 7-6 (7-5), 3-6, 16-14",6,2,2009,,
Men's,B.R. Borg,194,USA,SWE,J.S. Connors,"3-6, 6-2, 6-1, 5-7, 6-4",1,2,1977,,
Men's,J.P. McEnroe,202,SWE,USA,B.R. Borg,"4-6, 7-6 (7-1), 7-6 (7-4), 6-4",1,2,1981,,
Men's,J.S. Connors,256,USA,USA,J.P. McEnroe,"3-6, 6-3, 6-7 (2-7), 7-6 (7-5), 6-4",1,2,1982,,
Men's,P. Sampras,149,GER,USA,B.F. Becker,"6-7 (5-7), 6-2, 6-4, 6-2",3,2,1995,,
Men's,H.E.Vines,50,GBR,USA,H.W. Austin,"6-2, 6-2, 6-0",6,2,1932,,
Men's,R.L. Riggs,135,USA,USA,E.T. Cooke,"2-6, 8-6, 3-6, 6-3, 6-2",6,2,1939,,
Men's,E.V. Seixas,80,DEN,USA,K. Nielsen,"9-7, 6-3, 6-4",U,2,1953,,
Men's,J.P. McEnroe,85,NZL,USA,C.J. Lewis,"6-2, 6-2, 6-2",U,2,1983,,
Men's,W.T. Tilden,70,USA,USA,W.L. Allison,"6-3, 9-7, 6-4",U,2,1930,,
Men's,J.D. Newcombe,71,GER,AUS,W.P. Bungert,"6-3, 6-1, 6-1",U,3,1967,,
Men's,B.F. Becker,132,SWE,GER,S.B. Edberg,"6-0, 7-6 (7-1), 6-4",2,3,1989,,
Men's,R. Federer,204,GBR,SUI,A. Murray,"4-6, 7-5, 6-3, 6-4",4,3,2012,,
Men's,S.B. Edberg,178,GER,SWE,B.F. Becker,"6-2, 6-2, 3-6, 3-6, 6-4",2,3,1990,,
Men's,S.B. Edberg,170,GER,SWE,B.F. Becker,"4-6, 7-6 (7-2), 6-4, 6-2",6,3,1988,,
Men's,J.S. Connors,93,AUS,USA,K.R. Rosewall,"6-1, 6-1, 6-4",9,3,1974,,
Men's,M.M. Santana,104,USA,ESP,R.D. Ralston,"6-4, 11-9, 6-4",6,4,1966,,
Men's,H.J. Cochet,,FRA,FRA,J.R. Borotra,"4-6, 4-6, 6-3, 6-4, 7-5",3,4,1927,,
Men's,B.F. Becker,122,TCH,GER,I. Lendl,"6-4, 6-3, 7-5",1,4,1986,,
Men's,R. Federer,119,AUS,SUI,M. Philippousis,"7-6 (7-5), 6-2, 7-6 (7-3)",U,4,2003,,
Men's,B.R. Borg,110,ROM,SWE,I. Nastase,"6-4, 6-2, 9-7",3,4,1976,,
Men's,C.R. McKinley,78,AUS,USA,F.S. Stolle,"9-7, 6-1, 6-4",U,4,1963,,
Men's,Y.F.M. Petra,,AUS,FRA,G.E. Brown,"6-2, 6-4, 7-9, 5-7, 6-4",3,5,1946,,
Men's,J.E. Patty,120,AUS,USA,F.A. Sedgman,"6-1, 8-10, 6-2, 6-3",1,5,1950,,
Men's,M.D. Stich,153,GER,GER,B.F. Becker,"6-4, 7-6 (7-4), 6-4",2,6,1991,,
Men's,A.R. Ashe,125,USA,USA,J.S. Connors,"6-1, 6-1, 5-7, 6-4",1,6,1975,,
Men's,R. Savitt,62,AUS,USA,K.B. McGregor,"6-4, 6-4, 6-4",7,6,1951,,
Men's,R. Falkenburg,125,AUS,USA,J.E. Bromwich,"7-5, 0-6, 6-2, 3-6, 7-5",2,7,1948,,
Men's,S.B.B. Wood,,USA,USA,F.X. Shields,walk over,3,7,1931,,
Men's,R.P.S. Krajicek,94,USA,NED,M.O. Washington,"6-3, 6-4, 6-3",U,,1996,,
Men's,G.S. Ivanisevic,182,AUS,CRO,P.M. Rafter,"6-3, 3-6, 6-3, 2-6, 9-7",3,,2001,,
Men's,B.F. Becker,198,USA,GER,K.M. Curren,"6-3, 6-7 (4-7), 7-6 (7-3), 6-4",8,,1985,,
Women's,B.M. Court,148,,AUS,,"14-12, 11-9,",2,1,1970,USA,L.W. King
Women's,M. Smith,51,,AUS,,"6-3, 6-4,",,1,1963,USA,B.J. Moffitt
Women's,M. Smith,56,,AUS,,"6-4, 7-5,",1,2,1965,BRA,M.E.A. Bueno
Women's,E.F. Goolagong,62,,AUS,,"6-4, 6-1,",1,3,1971,AUS,B.M. Court
Women's,R.A. Cawley,93,,AUS,,"6-1, 7-6 (7-4)",3,4,1980,USA,J.M. Lloyd
Women's,M.E.A. Bueno,59,,BRA,,"8-6, 6-0",8,1,1960,RSA,S. Reynolds
Women's,M.E.A. Bueno,90,,BRA,,"6-4, 7-9, 6-3,",1,2,1964,AUS,M. Smith
Women's,M.E.A. Bueno,43,,BRA,,"6-4, 6-3,",4,6,1959,USA,D.R. Hard
Women's,J. Novotna,94,,CZE,,"6-4, 7-6 (7-2)",16,3,1998,FRA,N. Tauziat
Women's,P. Kvitová,55,,CZE,,"6-3, 6-0",13,6,2014,CND,E. Bouchard
Women's,P.Kvitova,85,,CZE,,"6-3, 6-4",5,8,2011,RUS,M. Sharapova
Women's,I.C. Martinez,119,,ESP,,"6-4, 3-6, 6-3,",4,3,1994,USA,M. Navratilova
Women's,S.R.F. Lenglen,25,,FRA,,"6-2, 6-0",,,1925,GBR,J.C. Fry
Women's,S.R.F. Lenglen,,,FRA,,"6-2, 6-2",,,1923,GBR,K. McKane
Women's,S.R.F. Lenglen,125,,FRA,,"10-8, 4-6, 9-7",,,1919,GBR,R.L. Chambers
Women's,S.R.F. Lenglen,,,FRA,,"6-3, 6-0",,,1920,GBR,R.L. Chambers
Women's,S.R.F. Lenglen,,,FRA,,"6-2, 6-0",,,1921,USA,E.M. Ryan
Women's,S.R.F. Lenglen,23,,FRA,,"6-2, 6-0",,,1922,USA,F.I. Mallory
Women's,A. Mauresmo,122,,FRA,,"2-6, 6-3, 6-4",3,1,2006,BEL,P-Y Hardenne
Women's,M. Bartoli,81,,FRA,,"6-2,1-6,6-4",23,15,2013,GER,S. Lisicki
Women's,L.A. Godfree,60,,GBR,,"6-2, 4-6, 6-3",,,1926,ESP,E.M. de Alvarez
Women's,A. Sterry,,,GBR,,"6-4, 6-4",,,1908,GBR,A.M. Morton
Women's,A. Sterry,,,GBR,,"6-2, 6-2",,,1901,GBR,G.W. Hillyard
Women's,B. Bingley,,,GBR,,"6-3, 6-3",,,1886,GBR,M.E.E Watson
Women's,C. Dod,,,GBR,,"6-2, 6-0",,,1887,GBR,B. Bingley
Women's,C. Dod,,,GBR,,"6-1, 6-1",,,1892,GBR,G.W. Hillyard
Women's,C. Dod,,,GBR,,"6-2, 6-1",,,1891,GBR,G.W. Hillyard
Women's,C. Dod,,,GBR,,"6-3, 6-3",,,1888,GBR,G.W. Hillyard
Women's,C. Dod,,,GBR,,"6-8, 6-1, 6-4",,,1893,GBR,G.W. Hillyard
Women's,C.R. Cooper,,,GBR,,"7-5, 8-6",,,1895,GBR,H. Jackson
Women's,C.R. Cooper,,,GBR,,"6-4, 6-4",,,1898,GBR,M.L.Martin
Women's,C.R. Cooper,,,GBR,,"6-2, 6-3",,,1896,GBR,W.H. Pickering
Women's,D.K. Douglass,,,GBR,,"6-0, 6-3",,,1904,GBR,A. Sterry
Women's,D.K. Douglass,,,GBR,,"4-6, 6-4, 6-2",,,1903,GBR,E.W. Thomson
Women's,D.T.R. Larcombe,,,GBR,,"6-3, 6-1",,,1912,GBR,A. Sterry
Women's,G.W. Hillyard,,,GBR,,"4-6, 6-4, 6-4",,,1900,GBR,C.R. Cooper
Women's,G.W. Hillyard,,,GBR,,"5-7, 7-5, 6-2",,,1897,GBR,C.R. Cooper
Women's,G.W. Hillyard,,,GBR,,"6-2, 6-3",,,1899,GBR,C.R. Cooper
Women's,G.W. Hillyard,,,GBR,,"6-1, 6-1",,,1894,GBR,E.L. Austin
Women's,G.W. Hillyard,,,GBR,,"4-6, 8-6, 6-4",,,1889,GBR,H.G.B. Rice
Women's,H.G.B. Rice,,,GBR,,"6-4, 6-1",,,1890,GBR,M. Jacks
Women's,M.E. Robb,,,GBR,,"7-5, 6-1",,,1902,GBR,A. Sterry
Women's,M.E.E. Watson,,,GBR,,"6-1, 7-5",,,1885,GBR,B Bingley
Women's,M.E.E. Watson,,,GBR,,"6-8, 6-3, 6-3",,,1884,GBR,L.M. Watson
Women's,P.D.H. Boothby,,,GBR,,"6-4, 4-6, 8-6",,,1909,GBR,A.M. Morton
Women's,R.L. Chambers,,,GBR,,"7-5, 6-4",,,1914,GBR,D.T.R. Larcombe
Women's,R.L. Chambers,25,,GBR,,"6-0, 6-0",,,1911,GBR,P.D.H. Boothby
Women's,R.L. Chambers,,,GBR,,"6-2, 6-2",,,1910,GBR,P.D.H. Boothby
Women's,R.L. Chambers,,,GBR,,"6-0, 6-4",,,1913,GBR,R.J. McNair
Women's,D.K. Douglass,57,,GBR,,"6-3, 9-7",,,1906,USA,M.G. Sutton
Women's,K. McKane,75,,GBR,,"4-6, 6-4, 6-4",,,1924,USA,H.N. Wills
Women's,D.E. Round,,,GBR,,"6-2, 5-7, 6-3",1,2,1934,USA,H.H. Jacobs
Women's,S.V. Wade,98,,GBR,,"4-6, 6-3, 6-1,",7,3,1977,NED,B.F. Stove
Women's,P.F. Jones,71,,GBR,,"3-6, 6-3, 6-2,",2,4,1969,USA,L.W. King
Women's,D.E. Round,60,,GBR,,"6-2, 2-6, 7-5",4,7,1937,POL,J. Jedrzejowska
Women's,F.A.M. Mortimer,96,,GBR,,"4-6, 6-4, 7-5,",6,7,1961,GBR,C.C. Truman
Women's,S.M. Graf,127,,GER,,"6-4, 3-6, 8-6,",2,1,1991,ARG,G.B. Sabatini
Women's,S.M. Graf,122,,GER,,"4-6, 6-1, 7-5,",2,1,1995,ESP,A.I.M. Sanchez Vicario
Women's,S.M. Graf,93,,GER,,"5-7, 6-2, 6-1,",2,1,1988,USA,M. Navratilova
Women's,S.M. Graf,92,,GER,,"6-2, 6-7 (1-7), 6-1,",2,1,1989,USA,M. Navratilova
Women's,S.M. Graf,88,,GER,,"6-3, 7-5,",4,1,1996,ESP,A.I.M. Sanchez Vicario
Women's,C. Aussem,,,GER,,"6-2, 7-5",4,1,1931,GER,H. Krahwinkel
Women's,S.M. Graf,134,,GER,,"7-6 (8-6), 1-6, 6-4,",8,1,1993,CZE,J. Novotna
Women's,S.M. Graf,58,,GER,,"6-2, 6-1,",1,2,1992,YUG,M. Seles
Women's,M. Sharapova,74,,RUS,,"6-1, 6-4",1,13,2004,USA,S.J. Williams
Women's,M. Hingis,110,,SUI,,"2-6, 6-3, 6-3",3,1,1997,CZE,J. Novotna
Women's,M.G. Sutton,,,USA,,"6-3, 6-4",,,1905,GBR,D.K. Douglass
Women's,M.G. Sutton,,,USA,,"6-1, 6-4",,,1907,GBR,R.L. Chambers
Women's,M. Navratilova,107,,USA,,"4-6, 6-3, 6-2,",1,1,1985,USA,J.M. Lloyd
Women's,C.M. Evert,120,,USA,,"6-3, 4-6, 8-6,",2,1,1976,AUS,R.A. Cawley
Women's,H.N. Wills,,,USA,,"6-2, 6-3",2,1,1928,ESP,E.M. de Alvarez
Women's,F.S. Moody,120,,USA,,"6-4, 6-8, 6-3",2,1,1933,GBR,D.E. Round
Women's,M. Navratilova,69,,USA,,"7-5, 6-3,",2,1,1987,GER,S.M. Graf
Women's,J.M. Lloyd,60,,USA,,"6-2, 6-2,",2,1,1981,TCH,H. Mandlikova
Women's,A.L. Brough,120,,USA,,"10-8, 1-6, 10-8,",2,1,1949,USA,W. du Pont
Women's,A.L. Brough,62,,USA,,"6-1, 3-6, 6-1,",2,1,1950,USA,W. du Pont
Women's,M. Navratilova,87,,USA,,"6-1, 3-6, 6-2,",2,1,1982,USA,J.M. Lloyd
Women's,M. Navratilova,60,,USA,,"6-4, 6-4,",2,1,1979,USA,J.M. Lloyd
Women's,M. Navratilova,84,,USA,,"7-6 (7-5), 6-2,",2,1,1984,USA,J.M. Lloyd
Women's,M.C. Connolly,67,,USA,,"8-6, 7-5,",2,1,1953,USA,D.J. Hart
Women's,S. Williams,83,,USA,,"6-4, 6-4",20,1,2015,ESP,G. Muguruza
Women's,S.J. Williamsms,66,,USA,,"6-3, 6-2",21,1,2010,RUS,V. Zvonareva
Women's,L.W. King,60,,USA,,"6-3, 6-4,",3,1,1967,GBR,P.F. Jones
Women's,M. Navratilova,72,,USA,,"7-6 (7-1), 6-3,",3,1,1986,TCH,H. Mandlikova
Women's,M. Navratilova,54,,USA,,"6-0, 6-3,",3,1,1983,USA,A. Jaeger
Women's,M.E. Osborne,,,USA,,"6-2, 6-4,",3,1,1947,USA,D.J. Hart
Women's,P.M. Betz,,,USA,,"6-2, 6-4,",3,1,1946,USA,A.L. Brough
Women's,H.N. Wills,,,USA,,"6-2, 6-4",4,1,1927,ESP,E.M. de Alvarez
Women's,S. Williams,83,,USA,,"7-5, 6-3",4,1,2016,GER,A. Kerber
Women's,M.C. Connolly,50,,USA,,"6-2, 7-5,",4,1,1954,USA,A.L. Brough
Women's,S.J. Williams,123,,USA,,"4-6, 6-4, 6-2",4,1,2003,USA,V.E.S. Williams
Women's,A. Gibson,50,,USA,,"6-3, 6-2,",5,1,1957,USA,D.R. Hard
Women's,F.S. Moody,50,,USA,,"6-3, 6-1",5,1,1932,USA,H.H. Jacobs
Women's,H.N. Wills,,,USA,,"6-1, 6-2",5,1,1929,USA,H.H. Jacobs
Women's,A. Marble,30,,USA,,"6-2, 6-0",6,1,1939,GBR,K.E. Stammers
Women's,L.W. King,69,,USA,,"9-7, 7-5,",7,1,1968,AUS,J.A.M. Tegart
Women's,F.S. Moody,,,USA,,"6-2, 6-2",8,1,1930,USA,E.M. Ryan
Women's,A. Gibson,62,,USA,,"8-6, 6-2,",,1,1958,GBR,F.A.M. Mortimer
Women's,F.S. Moody,,,USA,,"6-4, 6-0",,1,1938,USA,H.H. Jacobs
Women's,V.E.S. Williams,166,,USA,,"4-6, 7-6 (7-4), 9-7",1,14,2005,USA,L. Davenport
Women's,L.W. King,50,,USA,,"6-3, 6-3,",1,2,1972,AUS,E.F. Goolagong
Women's,M. Navratilova,102,,USA,,"2-6, 6-4, 7-5,",1,2,1978,USA,C.M. Evert
Women's,S.J. Williams,78,,USA,,"7-6 (7-4), 6-3",1,2,2002,USA,V.E.S. Williams
Women's,A.L. Brough,90,,USA,,"7-5, 8-6,",3,2,1955,USA,J.G. Fleitz
Women's,S.J. Williams,87,,USA,,"7-6 (7-3), 6-2",3,2,2009,USA,V.E.S. Williams
Women's,A.L. Brough,76,,USA,,"6-3, 8-6,",4,2,1948,USA,D.J. Hart
Women's,L.W. King,53,,USA,,"6-0, 7-5",4,2,1973,USA,C.M. Evert
Women's,M.C. Connolly,65,,USA,,"7-5, 6-3,",4,2,1952,USA,A.L. Brough
Women's,H.H. Jacobs,101,,USA,,"6-2, 4-6, 7-5",5,2,1936,GER,S. Sperling
Women's,M. Navratilova,75,,USA,,"6-4, 6-1,",5,2,1990,USA,Z.L. Garrison
Women's,V.E.S. Williams,69,,USA,,"6-1, 3-6, 6-0",8,2,2001,BEL,J. Henin
Women's,C.M. Evert,59,,USA,,"6-0, 6-4",8,2,1974,URS,O.V. Morozova
Women's,V.E.S. Williams,90,,USA,,"6-4, 6-1",18,23,2007,FRA,M. Bartoli
Women's,L.A. Davenport,75,,USA,,"6-4, 7-5",2,3,1999,GER,S.M. Graf
Women's,L.W. King,38,,USA,,"6-0, 6-1,",4,3,1975,AUS,R.A. Cawley
Women's,D.J. Hart,35,,USA,,"6-1, 6-0",4,3,1951,USA,S.J. Fry
Women's,L.W. King,68,,USA,,"6-3, 3-6, 6-1,",2,4,1966,BRA,M.E.A. Bueno
Women's,F.S. Moody,100,,USA,,"6-3, 3-6, 7-5",3,4,1935,USA,H.H. Jacobs
Women's,V.E.S. Williams,84,,USA,,"6-3, 7-6 (7-3)",2,5,2000,USA,L.A. Davenport
Women's,S.J. Fry,50,,USA,,"6-3, 6-1,",6,5,1956,GBR,A. Buxton
Women's,S. Williams,122,,USA,,"6-1, 5-7, 6-2",3,6,2012,POL,A. Radwańska
Women's,V.E.S. Williams,111,,USA,,"7-5, 6-4",6,7,2008,USA,S.J. Williams
Women's,J.R. Susman,57,,USA,,"6-4, 6-4,",,8,1962,TCH,C. Sukova
